times,InitDistance,EgoInitSpeed,EgoTargetSpeed,EgoAcceleration,ActorInitSpeed,ActorReactionTime,ActorTargetSpeed,ActorAcceleration
1,82,0,10,2.9,30,100,30,0
1,84,0,10,2.9,30,100,30,0
1,86,0,10,2.9,30,100,30,0
1,88,0,10,2.9,30,100,30,0
1,90,0,10,2.9,30,100,30,0
1,92,0,10,2.9,30,100,30,0
1,94,0,10,2.9,30,100,30,0
1,96,0,10,2.9,30,100,30,0
1,98,0,10,2.9,30,100,30,0
1,100,0,10,2.9,30,100,30,0
1,102,0,10,2.9,30,100,30,0
1,104,0,10,2.9,30,100,30,0
1,82,0,10,2.9,31,100,31,0
1,84,0,10,2.9,31,100,31,0
1,86,0,10,2.9,31,100,31,0
1,88,0,10,2.9,31,100,31,0
1,90,0,10,2.9,31,100,31,0
1,92,0,10,2.9,31,100,31,0
1,94,0,10,2.9,31,100,31,0
1,96,0,10,2.9,31,100,31,0
1,98,0,10,2.9,31,100,31,0
1,100,0,10,2.9,31,100,31,0
1,102,0,10,2.9,31,100,31,0
1,104,0,10,2.9,31,100,31,0
1,82,0,10,2.9,32,100,32,0
1,84,0,10,2.9,32,100,32,0
1,86,0,10,2.9,32,100,32,0
1,88,0,10,2.9,32,100,32,0
1,90,0,10,2.9,32,100,32,0
1,92,0,10,2.9,32,100,32,0
1,94,0,10,2.9,32,100,32,0
1,96,0,10,2.9,32,100,32,0
1,98,0,10,2.9,32,100,32,0
1,100,0,10,2.9,32,100,32,0
1,102,0,10,2.9,32,100,32,0
1,104,0,10,2.9,32,100,32,0
1,82,0,10,2.9,33,100,33,0
1,84,0,10,2.9,33,100,33,0
1,86,0,10,2.9,33,100,33,0
1,88,0,10,2.9,33,100,33,0
1,90,0,10,2.9,33,100,33,0
1,92,0,10,2.9,33,100,33,0
1,94,0,10,2.9,33,100,33,0
1,96,0,10,2.9,33,100,33,0
1,98,0,10,2.9,33,100,33,0
1,100,0,10,2.9,33,100,33,0
1,102,0,10,2.9,33,100,33,0
1,104,0,10,2.9,33,100,33,0
1,82,0,10,2.9,34,100,34,0
1,84,0,10,2.9,34,100,34,0
1,86,0,10,2.9,34,100,34,0
1,88,0,10,2.9,34,100,34,0
1,90,0,10,2.9,34,100,34,0
1,92,0,10,2.9,34,100,34,0
1,94,0,10,2.9,34,100,34,0
1,96,0,10,2.9,34,100,34,0
1,98,0,10,2.9,34,100,34,0
1,100,0,10,2.9,34,100,34,0
1,102,0,10,2.9,34,100,34,0
1,104,0,10,2.9,34,100,34,0
1,82,0,10,2.9,35,100,35,0
1,84,0,10,2.9,35,100,35,0
1,86,0,10,2.9,35,100,35,0
1,88,0,10,2.9,35,100,35,0
1,90,0,10,2.9,35,100,35,0
1,92,0,10,2.9,35,100,35,0
1,94,0,10,2.9,35,100,35,0
1,96,0,10,2.9,35,100,35,0
1,98,0,10,2.9,35,100,35,0
1,100,0,10,2.9,35,100,35,0
1,102,0,10,2.9,35,100,35,0
1,104,0,10,2.9,35,100,35,0
1,82,0,10,2.9,36,100,36,0
1,84,0,10,2.9,36,100,36,0
1,86,0,10,2.9,36,100,36,0
1,88,0,10,2.9,36,100,36,0
1,90,0,10,2.9,36,100,36,0
1,92,0,10,2.9,36,100,36,0
1,94,0,10,2.9,36,100,36,0
1,96,0,10,2.9,36,100,36,0
1,98,0,10,2.9,36,100,36,0
1,100,0,10,2.9,36,100,36,0
1,102,0,10,2.9,36,100,36,0
1,104,0,10,2.9,36,100,36,0
1,82,0,10,2.9,37,100,37,0
1,84,0,10,2.9,37,100,37,0
1,86,0,10,2.9,37,100,37,0
1,88,0,10,2.9,37,100,37,0
1,90,0,10,2.9,37,100,37,0
1,92,0,10,2.9,37,100,37,0
1,94,0,10,2.9,37,100,37,0
1,96,0,10,2.9,37,100,37,0
1,98,0,10,2.9,37,100,37,0
1,100,0,10,2.9,37,100,37,0
1,102,0,10,2.9,37,100,37,0
1,104,0,10,2.9,37,100,37,0
1,82,0,10,2.9,38,100,38,0
1,84,0,10,2.9,38,100,38,0
1,86,0,10,2.9,38,100,38,0
1,88,0,10,2.9,38,100,38,0
1,90,0,10,2.9,38,100,38,0
1,92,0,10,2.9,38,100,38,0
1,94,0,10,2.9,38,100,38,0
1,96,0,10,2.9,38,100,38,0
1,98,0,10,2.9,38,100,38,0
1,100,0,10,2.9,38,100,38,0
1,102,0,10,2.9,38,100,38,0
1,104,0,10,2.9,38,100,38,0
1,82,0,10,2.9,39,100,39,0
1,84,0,10,2.9,39,100,39,0
1,86,0,10,2.9,39,100,39,0
1,88,0,10,2.9,39,100,39,0
1,90,0,10,2.9,39,100,39,0
1,92,0,10,2.9,39,100,39,0
1,94,0,10,2.9,39,100,39,0
1,96,0,10,2.9,39,100,39,0
1,98,0,10,2.9,39,100,39,0
1,100,0,10,2.9,39,100,39,0
1,102,0,10,2.9,39,100,39,0
1,104,0,10,2.9,39,100,39,0
1,82,0,10,2.9,40,100,40,0
1,84,0,10,2.9,40,100,40,0
